
Record#  PRONAME                        DES                     QTY      PRICE
    372  GAINE GROSSESSE                272795.                   1     150.63
    373  GAINE GROSSESSE                272809.                   1     150.63
    374  CULOTTE A JETER                38148.0                  12     240.72
    375  S.GORGE DE MATERNITE           272647.                   1     114.13
    376  S.GORGE DE MATERNITE           272655.                   1     114.13
    377  S.GORGE DE MATERNITE           272663.                   1     119.27
    378  S.GORGE DE MATERNITE           272671.                   1     114.13
    379  S.GORGE DE MATERNITE           272680.                   1     114.13
    380  S.GORGE DE MATERNITE           272698.                   1     119.27
    381  S.GORGE DE MATERNITE           272701.                   1     114.13
    382  S.GORGE DE MATERNITE           272728.                   1     119.27
    383  S.GORGE DE MATERNITE           272736.                   1     114.13
    384  S.GORGE DE MATERNITE           272744.                   1     114.13
    385  S.GORGE DE MATERNITE           272752.                   1     119.27
    386  S.G ALLAIT. DENTELLE           1373510                   1     143.44
    387  S.G ALLAIT. DENTELLE           1373536                   1     143.44
    388  S.G ALLAIT. DENTELLE           1373560                   1     143.44
    389  S.G ALLAIT. DENTELLE           1373579                   1     143.44
    390  S.G ALLAIT. DENTELLE           1373609                   1     143.44
    391  S.G ALLAIT. DENTELLE           1373617                   1     143.44
    392  S.G ALLAIT. DENTELLE           1373633                   1     143.44
    393  S.G ALLAIT. DENTELLE           1373668                   1     143.44
    394  S.G ALLAIT. DENTELLE           1373706                   1     143.44
    395  S.G ALLAIT. DENTELLE           1373749                   1     143.44
    396  S.G ALLAIT. DENTELLE           1373765                   1     143.44
    397  S.G ALLAIT. SATIN MA           1373820                   1     153.71
    398  S.G ALLAIT. SATIN MA           1373862                   1     153.71
    399  S.G ALLAIT. SATIN MA           1373900                   1     153.71
    400  S.G ALLAIT. SATIN MA           1373919                   1     153.71
    401  S.G ALLAIT. SATIN MA           1373943                   1     153.71
    402  S.G ALLAIT. SATIN MA           1373960                   1     153.71
    403  S.G ALLAIT. SATIN MA           1373994                   1     153.71
    404  S.G ALLAIT. SATIN MA           1374036                   1     153.71
    405  S.G ALLAIT. SATIN MA           1374079                   1     153.71
    406  S.GORGE DE MATERNITE           272710.                   1     114.13
    407  CULOTTE HAUTE SATIN            1374206                   2     166.58
    408  CULOTTE HAUTE SATIN            1374214                   2     166.58
